"Iso Code","Language Name"
ara,"Arabic"
eng,"English"
cmn,"Chinese, Mandarin"
spa,"Spanish"
fra,"French"
mlg,"Malagasy"
ful,"Fulah"
swe,"Swedish"
por,"Portuguese"
zlm,"Malay"
sun,"Sunda"
tuk,"Turkmen"
vie,"Vietnamese"
kor,"Korean"
hin,"Hindi"
ben,"Bengali"
som,"Somali"
asm,"Assamese"
swh,"Swahili"
urd,"Urdu"
hau,"Hausa"
ind,"Indonesian"
tat,"Tatar"
bod,"Tibetan, Central"
tel,"Telugu"
mon,"Mongolian"
aze,"Azerbaijani"
rus,"Russian"
tgl,"Tagalog"
tur,"Turkish"
mar,"Marathi"
amh,"Amharic"
ron,"Romanian"
yor,"Yoruba"
tha,"Thai"
slv,"Slovene"
heb,"Hebrew"
mkd,"Macedonian"
bel,"Belarusian"
nya,"Chichewa"
mal,"Malayalam"
bul,"Bulgarian"
hun,"Hungarian"
hat,"Haitian Creole"
fas,"Persian"
hrv,"Croatian"
cat,"Catalan"
tam,"Tamil"
orm,"Oromo"
kmr,"Kurdish, Northern"
nld,"Dutch"
cak,"Kaqchikel"
afr,"Afrikaans"
pol,"Polish"
jav,"Javanese"
lin,"Lingala"
cym,"Welsh"
kik,"Gikuyu"
nob,"Norwegian Bokmål"
grn,"Guarani"
snd,"Sindhi"
kaz,"Kazakh"
isl,"Icelandic"
uzb,"Uzbek"
bos,"Bosnian"
mya,"Burmese"
lat,"Latin"
deu,"German, Standard"
npi,"Nepali"
che,"Chechen"
yue,"Chinese, Yue"
kat,"Georgian"
kan,"Kannada"
lit,"Lithuanian"
mam,"Mam"
sqi,"Albanian"
hye,"Armenian"
jpn,"Japanese"
ell,"Greek"
crh,"Crimean Tatar"
lav,"Latvian"
khm,"Khmer"
bak,"Bashkort"
poh,"Poqomchi’"
quc,"K’iche’"
pan,"Punjabi, Eastern"
ixl,"Ixil"
xog,"Soga"
ces,"Czech"
tgk,"Tajik"
cfm,"Chin, Falam"
fao,"Faroese"
guj,"Gujarati"
aka,"Akan"
ukr,"Ukrainian"
glg,"Galician"
ltz,"Luxembourgish"
sxn,"Sangir"
sna,"Shona"
lao,"Lao"
mlt,"Maltese"
sin,"Sinhala"
lug,"Ganda"
aiw,"Aari"
kia,"Kim"
ayo,"Ayoreo"
dtp,"Kadazan Dusun"
cmo,"Mnong, Central"
nhx,"Nahuatl, Isthmus-Mecayapan"
gag,"Gagauz"
tzj,"Tz’utujil"
tuv,"Turkana"
acr,"Achi"
mri,"Maori"
eus,"Basque"
pus,"Pushto"
quy,"Quechua, Ayacucho"
srp,"Serbian"
ita,"Italian"
nno,"Norwegian Nynorsk"
xsm,"Kasem"
luo,"Dholuo"
ory,"Odia"
gur,"Farefare"
cac,"Chuj"
quh,"Quechua, South Bolivian"
ewe,"Éwé"
kbp,"Kabiyè"
saq,"Samburu"
slk,"Slovak"
xon,"Konkomba"
fin,"Finnish"
mos,"Mòoré"
bwq,"Bobo Madaré, Southern"
yao,"Yao"
hne,"Chhattisgarhi"
rif,"Tarifit"
new,"Newar"
hus,"Huastec"
dyu,"Jula"
bre,"Breton"
guh,"Guahibo"
bis,"Bislama"
yid,"Yiddish"
txa,"Tombonuo"
mnk,"Mandinka"
uig,"Uyghur"
bqc,"Boko"
dan,"Danish"
ngl,"Lomwe"
pse,"Malay, Central"
bam,"Bamanankan"
mtg,"Una"
pmf,"Pamona"
onb,"Lingao"
ntm,"Nateni"
tso,"Tsonga"
bno,"Bantoanon"
teo,"Ateso"
uhn,"Damal"
ycl,"Lolopo"
bus,"Bokobaru"
ttq,"Tamajaq, Tawallammat"
mcr,"Menya"
seh,"Sena"
kru,"Kurux"
lok,"Loko"
est,"Estonian"
tpi,"Tok Pisin"
zne,"Zande"
bxk,"Bukusu"
mzi,"Mazatec, Ixcatlán"
amf,"Hamer-Banna"
rel,"Rendille"
sck,"Sadri"
lcp,"Lawa, Western"
gbo,"Grebo, Northern"
adx,"Tibetan, Amdo"
tcc,"Datooga"
cnh,"Chin, Hakha"
pwg,"Gapapaiwa"
wlx,"Wali"
rjs,"Rajbanshi"
thl,"Tharu, Dangaura"
xal,"Kalmyk-Oirat"
dos,"Dogosé"
lis,"Lisu"
txu,"Kayapó"
sxb,"Suba"
gng,"Ngangam"
ifa,"Ifugao, Amganad"
beh,"Biali"
poe,"Popoloca, San Juan Atzingo"
dga,"Dagaare, Southern"
dsh,"Daasanach"
vmw,"Makhuwa"
mup,"Malvi"
lnd,"Lundayeh"
kbo,"Keliko"
cwa,"Kabwa"
rol,"Romblomanon"
khg,"Tibetan, Khams"
nko,"Nkonya"
dgi,"Dagara, Northern"
kml,"Kalinga, Tanudan"
nxq,"Naxi"
acn,"Achang"
pxm,"Mixe, Quetzaltepec"
wal,"Wolaytta"
ctg,"Chittagonian"
dnw,"Dani, Western"
pui,"Puinave"
lew,"Kaili, Ledo"
bfa,"Bari"
mqj,"Mamasa"
rmc,"Romani, Carpathian"
mhy,"Ma’anyan"
xsr,"Sherpa"
gri,"Ghari"
bfy,"Bagheli"
kqp,"Kimré"
frd,"Fordata"
ayr,"Aymara, Central"
mip,"Mixtec, Apasco-Apoala"
nym,"Nyamwezi"
tzh,"Tzeltal"
kcg,"Tyap"
tex,"Tennet"
lbw,"Tolaki"
sda,"Toraja-Sa’dan"
kdt,"Kuay"
bfo,"Birifor, Malba"
qxl,"Quichua, Salasaca Highland"
ttc,"Tektiteko"
bfz,"Pahari, Mahasu"
mhx,"Lhao Vo"
sbp,"Sangu"
mco,"Mixe, Coatlán"
mbu,"Mbula-Bwazza"
mxt,"Mixtec, Jamiltepec"
nzi,"Nzema"
suz,"Sunwar"
hlt,"Chin, Matu"
tzo,"Tzotzil"
any,"Anyin"
gna,"Kaansa"
sid,"Sidamo"
alp,"Alune"
maj,"Mazatec, Jalapa de Díaz"
zim,"Mesme"
knj,"Akateko"
zar,"Zapotec, Rincón"
mxb,"Mixtec, Tezoatlán"
bdu,"Oroko"
bbc,"Batak Toba"
ddn,"Dendi"
obo,"Manobo, Obo"
krs,"Gbaya"
zaq,"Zapotec, Aloápam"
ife,"Ifè"
soy,"Miyobe"
trs,"Triqui, Chicahuaxtla"
mbj,"Nadëb"
tuo,"Tucano"
atb,"Zaiwa"
vif,"Vili"
mim,"Mixtec, Alacatlatzala"
grc,"Greek, Ancient"
cek,"Chin, Eastern Khumi"
kfx,"Pahari, Kullu"
naw,"Nawuri"
tgj,"Tagin"
xed,"Hdi"
hnn,"Hanunoo"
had,"Hatam"
kij,"Kilivila"
nlc,"Nalca"
kek,"Q’eqchi’"
rej,"Rejang"
fon,"Fon"
amk,"Ambai"
kyb,"Kalinga, Butbut"
dnj,"Dan"
oku,"Oku"
gil,"Kiribati"
mag,"Magahi"
lln,"Lele"
pil,"Yom"
pls,"Popoloca, San Marcos Tlacoyalco"
box,"Buamu"
kwf,"Kwara’ae"
mgd,"Moru"
xtm,"Mixtec, Magdalena Peñasco"
ctd,"Chin, Tedim"
akb,"Batak Angkola"
nlg,"Gela"
bmq,"Bomu"
bmv,"Bum"
mgo,"Meta’"
cla,"Ron"
rug,"Roviana"
enx,"Enxet"
mpm,"Mixtec, Yosondúa"
gof,"Gofa"
bom,"Berom"
mbc,"Macushi"
btx,"Batak Karo"
did,"Didinga"
mej,"Meyah"
bgq,"Bagri"
maa,"Mazatec, San Jerónimo Tecóatl"
nmz,"Nawdm"
mfk,"Mofu, North"
aeu,"Akeu"
mqn,"Moronene"
tob,"Toba"
hlb,"Halbi"
nin,"Ninzo"
kqe,"Kalagan"
lex,"Luang"
mkl,"Mokole"
icr,"Islander English Creole"
lns,"Lamnso’"
tlj,"Talinga-Bwisi"
bzh,"Buang, Mapos"
bdh,"Baka"
kle,"Kulung"
pib,"Yine"
vut,"Vute"
btd,"Batak Dairi"
xmm,"Malay, Manado"
yka,"Yakan"
btt,"Bete-Bendi"
hoc,"Ho"
yba,"Yala"
mib,"Mixtec, Atatlahuca"
kpq,"Korupun-Sela"
xsb,"Sambal"
muy,"Muyang"
zyp,"Chin, Zyphe"
bbo,"Konabéré"
krc,"Karachay-Balkar"
eka,"Ekajuk"
mcp,"Makaa"
bqj,"Bandial"
mcq,"Ese"
ybb,"Yemba"
hyw,"Armenian, Western"
tmc,"Tumak"
mih,"Mixtec, Chayuco"
blt,"Tai Dam"
zpz,"Zapotec, Texmelucan"
tng,"Tobanga"
